0	323.66
1	323.80
2	323.93
3	324.00
4	324.00
5	323.93
6	323.80
7	323.66

8	324.24
9	324.40
10	324.54
11	324.62
12	324.62
13	324.54
14	324.40
15	324.24

16	325.72
17	325.91
18	326.08
19	326.17
20	326.16
21	326.08
22	325.91
23	325.72

24	329.04
25	329.27
26	329.47
27	329.57
28	329.57
29	329.47
30	329.27
31	329.04

32	336.45
33	336.74
34	336.97
35	337.10
36	337.09
37	336.97
38	336.74
39	336.45

40	339.81
41	340.13
42	340.39
43	340.52
44	340.51
45	340.38
46	340.13
47	339.81

48	341.45
49	341.79
50	342.05
51	342.18
52	342.18
53	342.05
54	341.79
55	341.45

56	342.04
57	342.39
58	342.65
59	342.77
60	342.77
61	342.65
62	342.39
63	342.04

