0	323.81
1	323.95
2	324.08
3	324.16
4	324.16
5	324.08
6	323.95
7	323.81

8	324.40
9	324.56
10	324.71
11	324.79
12	324.79
13	324.71
14	324.56
15	324.40

16	325.91
17	326.11
18	326.29
19	326.37
20	326.37
21	326.28
22	326.12
23	325.92

24	329.31
25	329.56
26	329.77
27	329.86
28	329.85
29	329.76
30	329.57
31	329.31

32	336.89
33	337.19
34	337.46
35	337.55
36	337.54
37	337.43
38	337.22
39	336.89

40	340.32
41	340.67
42	340.96
43	341.06
44	341.05
45	340.93
46	340.71
47	340.33

48	342.01
49	342.38
50	342.67
51	342.79
52	342.76
53	342.64
54	342.41
55	342.02

56	342.62
57	342.99
58	343.28
59	343.40
60	343.37
61	343.25
62	343.02
63	342.63

